file_id,split,label,prev_text,curr_text,audio_path
9_1_7_33,train,Sad,اپنی غلطیاں اپنی کوتاہیاں اپنی خطائیں,کچھ بھی نہیں صرف اور صرف محرومی,audio/9_1_7_33.wav
8_1_6_17,train,Neutral,مجھے لگتا تھا کہ اس لڑائی بالکل اکیلی ہوں,چھوڑ ہی تو نہیں سکتی ڈیڈ,audio/8_1_6_17.wav
7_1_5_48,train,Happy,وہی ابھی اپ کو کل کا قصہ بتاؤں میں,میں نے لکھ کے دی اسے درخواست وہ بھی انگریزی میں,audio/7_1_5_48.wav
5_0_6_08,train,Neutral,ویسے بچے پتہ ہے کیا ہوتا ہے دکان جانے سے پہلے سارا وقت جو ہے نا وہ بازار میں ضائع ہو جاتا ہے,اور مجھے پتہ ہوتا ہے کہ تمہاری ماں نے کون کون سی چیز کہاں کہاں رکھی ہوئی ہے,audio/5_0_6_08.wav
9_1_7_11,train,Sad,نہ بھوک نہ پیاس نہ نیند,بس سمجھو اب تو یہی لکھا ہے قسمت میں,audio/9_1_7_11.wav
6_1_4_25,train,Disgust,یہی سوچ کر تو ہول اٹھتے ہیں میرے دل میں,ہم اپنی ہر غلطی اس پہ کیوں ڈال دیتے ہیں,audio/6_1_4_25.wav
4_0_4_35,train,Disgust,مرید تو سمجھتا کیوں نہیں سمجھتا کیوں نہیں مالکوں کی برابری نہیں کرتے,اور ایسا نہیں تھا کہ میرے ابا میری فیس برداشت نہیں کر سکتے تھے پیسے تھے ان کے پاس,audio/4_0_4_35.wav
8_1_2_06,train,Fear,نہیں جانا مجھے تمہارے ساتھ کہیں,نہیں ہے مجھے ضرورت تم لوگوں کی,audio/8_1_2_06.wav
2_0_5_46,train,Happy,سب میں گھسنا ہوتا تھا بھائی,اسی چکر میں بعد میں مجھے,audio/2_0_5_46.wav
1_0_7_38,train,Sad,اس کے اتنی بڑی سزا ملی ہے سارے رشتے ہاتھ سے نکلتے جا رہے ہیں,میں اظہار نہیں کر سکا لیکن بیٹی ہے وہ میری محبت کا نہ سہی عزت کا ہی پاس رکھ لیتی,audio/1_0_7_38.wav
7_1_4_04,train,Disgust,بلکہ میں نے ہی نہیں بڑے بھیا نے بھی بتایا تھا,اپنی گاڑی ہٹائیے تاکہ میں پارک کر سکوں,audio/7_1_4_04.wav
4_0_7_28,train,Sad,اج میں اتنا ہی بدنام ہوں جتنا تم چاہتی تھی,کا ایک بیٹا دربدر کی ٹھوکریں کھا رہا عیسا,audio/4_0_7_28.wav
7_1_4_37,train,Disgust,اور جو تمہاری امی رسمیں کر رہیں تھیں وہ ایسے پانی وارنے والی وہ بہت معقول ہے,آپ نہیں سمجھیں گی بھابھی,audio/7_1_4_37.wav
6_1_2_30,train,Fear,اچھا ٹھیک ہے,مجھے اپنے ابو سے ملنا ہے لے کے چلو مجھے ان کے پاس,audio/6_1_2_30.wav
6_1_1_06,train,Angry,بابر کب تک تم اپنے باپ کی انگلی پکڑ کے پھرتے رہو گے,کیا بدتمیزی ہاتھ چھوڑو میرا کہا نا ہاتھ چھوڑو,audio/6_1_1_06.wav
8_1_4_19,train,Disgust,پوری زندگی بنا کسی سہارے کے ارام سے گزار سکتی ہوں,یہی عقیدت مانگی تھی اج جس کے تم وہ دعوے کرتے تھے,audio/8_1_4_19.wav
1_0_4_50,train,Disgust,جاؤ تم لوگ بعد میں بات کروں گا تم سے نکمے کہیں کے,جاؤ تم لوگ بعد میں بات کروں گا تم سے نکمے کہیں کے,audio/1_0_4_50.wav
5_0_4_15,train,Disgust,کیا سمجھتے ہو تم,تم اپنا گناہ سماجی کاموں اور لوگوں کے کام اور لوگوں کی مدد کر کے چھپا لو گی,audio/5_0_4_15.wav
1_0_7_24,train,Sad,اب تجھے یہ اپنا فرض نبھانا ہے ایمانداری سے,میاں بیوی میں محبت اور عزت تو ہوتی ہے,audio/1_0_7_24.wav
6_1_1_03,train,Angry,امی یہاں انے کے علاوہ اس کے پاس کوئی کام نہیں ہے,میں نے کہا نا میں نے تمہاری کوئی بات نہیں سنی,audio/6_1_1_03.wav
6_1_1_49,train,Angry,ماری رہی تھی نا انتظار نہیں کر سکتا تھا کیا تھوڑا,مجھے ہاسٹل میں ڈال دیا اس کی خاطر,audio/6_1_1_49.wav
3_0_3_40,train,Boredom,اج کل کوئی خواب وغیرہ نہیں دیکھتی ہو تم,صاف ہی کہو کہ حقیقتیں دیکھ کر ڈر گئی ہو,audio/3_0_3_40.wav
2_0_6_44,train,Neutral,اچھا ہوا کہ اپ سمجھ گئی,اب اسے بھی جا کر سمجھا دیں کہ وہ وہاں ارام کریں,audio/2_0_6_44.wav
4_0_4_01,train,Disgust,میرے ماں باپ کے لڑنے کی آوازیں آ,میں وہی کر رہا تھا جو ایک بھائی کو کرنا چاہیے,audio/4_0_4_01.wav
8_1_2_09,train,Fear,میں نے کبھی اس کو اس نظر سے دیکھا ہی نہیں ہے,زید کو فون کریں رخصتی کا وقت ہونے والا ہے,audio/8_1_2_09.wav
7_1_7_32,train,Sad,مجھے نہیں رہنا اُس کے ساتھ,تم گولی کھاؤ میں پانی پلاتی ہوں,audio/7_1_7_32.wav
7_1_6_27,train,Neutral,کھانا نکال رہے ہیں اور کھانا کھا بھی رہی ہوں,نہیں مطلب اتنی کوئی پریشانی کی بات بھی نہیں ہے ا,audio/7_1_6_27.wav
10_1_5_26,train,Happy,قُرآنِ پاک کا نسخہ,آپ جیسی کامیابی نہیں ملنے والی مجھے,audio/10_1_5_26.wav
8_1_5_22,train,Happy,چلیں نیچے چلتے ہیں کھانا ساتھ کھاتے ہیں,یہ شام میری سہیلی,audio/8_1_5_22.wav
8_1_7_43,train,Sad,میں نے بہت کوشش کی تھی کہ آپ کے اور ابرار انکل کے وعدے کا پاس رکھ سکوں,لیکن میں آپ لوگوں سے بہت شرمندہ ہوں,audio/8_1_7_43.wav
6_1_2_37,train,Fear,لیکن مجھے نہیں لگتا کہ میری کہانی کوئی ایسے چھوڑے گی,مجھے تو ایک ہی ڈر ہے,audio/6_1_2_37.wav
2_0_1_21,train,Angry,مجھے یہ بتاؤ کہ 50 لاکھ روپے تم نے کس کو دیے ہیں,میں تم سے بات کر رہا ہوں جو پوچھا رہا ہوں جواب دو,audio/2_0_1_21.wav
2_0_1_18,train,Angry,میں نے بہت برداشت کر لیا نکل جاؤ یہاں سے دفع ہو جاؤ,پولیس والے گیم کر رہے ہیں سمجھ کیوں نہیں اتی تمہیں,audio/2_0_1_18.wav
4_0_5_47,train,Happy,جو اپ کو فون کی بیماری ہے,جو اپ چھ چھ فون لے کر رکھتی ہیں,audio/4_0_5_47.wav
3_0_6_26,train,Neutral,ابراہیم صاحب نے حامی بھری ہے,میرے ان تصورات سے بالکل مختلف,audio/3_0_6_26.wav
3_0_5_48,train,Happy,شرمندہ اپ لوگوں نے کرنا شروع کر دیا ہے,شرمندہ اپ لوگوں نے کرنا شروع کر دیا ہے,audio/3_0_5_48.wav
4_0_6_26,train,Neutral,نہیں میڈم پولیس والوں کا تو کام ہے تفشیش کرنا,تمہاری اور اس کی حفاظت اب موسی کی ذمہ داری ہے,audio/4_0_6_26.wav
3_0_6_46,train,Neutral,باقی سب سن لیا ہے میں نے صرف اخری لائن دوبارہ بولو,ہاں یاد ایا اج وہ تمہارے شیخ صاحب اگئے تھے,audio/3_0_6_46.wav
8_1_2_41,train,Fear,بس چھوڑیں نہ ختم کریں,یہ جھوٹ بول رہی ہیں نا ایسا نہیں ہو سکتا زین,audio/8_1_2_41.wav
10_1_6_23,train,Neutral,یاد نہیں کرتی اُسے بس بھول نہیں سکتی,دُعا کیجئے گا,audio/10_1_6_23.wav
2_0_1_43,train,Angry,بکواس بند کرو اپنی مذاق نہیں ہے یہ,اور اج اگر اس کی ماں کو کچھ ہو جاتا تو,audio/2_0_1_43.wav
5_0_7_05,train,Sad,مشتاق شرماو حیا ہی عورت کا زیور ہے,یہ الزام ہے کیسی عورت ہو تم,audio/5_0_7_05.wav
2_0_4_33,train,Disgust,دیے تو تھے پیسے اس کا بل الگ ہوگا,میں نہیں چاہتا میرا پیٹ خراب ہو جائے یہ لو,audio/2_0_4_33.wav
10_1_5_42,train,Happy,تب تک کے لیئے سفید گلاب کافی ہے,جو مانگو گی بغیر سوال کیے دیں گے,audio/10_1_5_42.wav
7_1_4_12,train,Disgust,میں تمہارا پیچھا کر رہی ہوں تم کب سے میری گاڑی کے پیچھے پڑی ہوئی ہو میں,تمہیں لگتا ہے یہ غنڈاگردی ہوتی ہے,audio/7_1_4_12.wav
3_0_3_08,train,Boredom,خیر وہ تو پتہ چل ہی گیا ہے,تعجب ہے میں اس سے ڈر رہا ہوں وہ مجھ سے ڈر رہے ہو,audio/3_0_3_08.wav
